Gene	sgRNA	921|beta	921|z	921|p-value	921|fdr	921|wald-p-value	921|wald-fdr
TREM1	5	-0.48101	-2.2957	0.060758	0.39956	0.021695	0.33969
TREM2	5	0.23939	1.313	0.36116	0.78129	0.18918	0.59478
TREML1	11	-0.21263	-1.6955	0.15984	0.59239	0.089982	0.59288
TREML2	5	0.2535	1.2681	0.32628	0.75634	0.20476	0.59679
TREML4	5	-0.33207	-1.5332	0.16861	0.60333	0.12521	0.59288
TRERF1	5	-0.10843	-0.58904	0.5657	0.88456	0.55584	0.79062
TREX1	5	0.26287	1.2387	0.30462	0.73832	0.21547	0.59931
TREX2	5	0.67224	1.7053	0.0017216	0.048973	0.088144	0.59288
TRH	5	0.096257	0.4776	0.79696	0.95514	0.63294	0.83324
TRHDE	5	0.32303	1.311	0.18916	0.62899	0.18986	0.59478
TRHR	5	0.074594	0.28425	0.86766	0.97285	0.77622	0.9064
TRIAP1	5	-0.3825	-1.4558	0.12157	0.53482	0.14543	0.59288
TRIB1	5	-0.41747	-2.1818	0.096579	0.48332	0.029126	0.40592
TRIB2	5	-0.098927	-0.56573	0.5918	0.89233	0.57158	0.79987
TRIB3	5	0.25023	1.5681	0.33456	0.76266	0.11686	0.59288
TRIM10	5	-0.2645	-1.7644	0.25492	0.69916	0.077668	0.59288
TRIM11	5	0.3411	1.1383	0.162	0.59535	0.25499	0.61725
TRIM13	5	0.065176	0.30741	0.89898	0.98008	0.75853	0.89818
TRIM14	5	-0.064404	-0.34081	0.68577	0.92186	0.73325	0.88461
TRIM15	5	-0.2817	-1.2993	0.23059	0.676	0.19383	0.59478
TRIM16	5	0.34475	1.4899	0.1575	0.59022	0.13625	0.59288
TRIM16L	5	-0.25156	-1.2001	0.27424	0.71867	0.23009	0.60577
TRIM17	5	-0.37156	-1.984	0.13023	0.54854	0.047252	0.53276
TRIM2	5	0.29514	1.5332	0.23742	0.68095	0.12522	0.59288
TRIM21	5	0.32181	1.3586	0.19077	0.6312	0.17426	0.59314
TRIM22	5	0.16201	1.2569	0.57975	0.88769	0.20879	0.5982
TRIM23	5	0.13056	0.61642	0.6805	0.92086	0.53762	0.7791
TRIM24	5	0.20567	0.94224	0.45152	0.834	0.34607	0.66745
TRIM25	5	0.090791	0.5674	0.81534	0.96099	0.57044	0.79896
TRIM26	5	-0.015097	-0.095893	0.83728	0.96654	0.92361	0.96896
TRIM27	5	0.26536	1.3215	0.29907	0.73622	0.18634	0.59478
TRIM28	5	-0.20182	-1.0101	0.35788	0.77826	0.31245	0.64781
TRIM29	5	0.07943	0.49581	0.85266	0.96913	0.62003	0.82537
TRIM3	5	0.29798	1.4676	0.23198	0.67731	0.14222	0.59288
TRIM31	5	-0.012892	-0.080056	0.84389	0.96768	0.93619	0.97485
TRIM32	5	0.21006	1.2172	0.43835	0.82675	0.22352	0.60194
TRIM33	5	0.2128	0.79634	0.4308	0.82193	0.42583	0.71359
TRIM34	5	0.038141	0.20739	0.99123	0.99944	0.8357	0.93278
TRIM35	5	-0.2045	-1.2911	0.3531	0.7765	0.19667	0.59478
TRIM36	9	-0.013017	-0.10694	0.80718	0.95834	0.91483	0.96505
TRIM37	5	-0.51462	-2.0031	0.047262	0.35355	0.045171	0.51937
TRIM38	4	0.40374	1.0201	0.12524	0.54331	0.30768	0.64479
TRIM39	5	0.36039	1.5036	0.13412	0.55415	0.13268	0.59288
TRIM4	5	0.34697	1.6946	0.15406	0.58571	0.090147	0.59288
TRIM40	5	-0.20003	-0.95138	0.36077	0.7811	0.34141	0.66478
TRIM41	4	-0.042115	-0.33784	0.77435	0.95083	0.73548	0.88632
TRIM42	5	0.28525	1.5977	0.25647	0.70118	0.11012	0.59288
TRIM43	5	-0.11984	-0.73734	0.53521	0.87181	0.46091	0.73555
TRIM44	5	0.053196	0.21934	0.94102	0.9903	0.82639	0.92918
TRIM45	5	0.081739	0.4788	0.84505	0.96774	0.63208	0.83255
TRIM46	5	-0.11092	-1.0304	0.55887	0.88302	0.30281	0.64192
TRIM47	5	-0.081747	-0.38378	0.63829	0.90532	0.70114	0.86881
TRIM48	2	-0.61894	-1.4132	0.14351	0.57143	0.15761	0.59288
TRIM49	2	-1.0228	-2.1378	0.034322	0.30205	0.03253	0.42816
TRIM49B	2	0.33137	0.94992	0.40209	0.80569	0.34215	0.66478
TRIM49D1	3	-2.0641	-3.2873	0	0	0.0010114	0.050871
TRIM5	5	0.41843	1.6083	0.072309	0.43003	0.10776	0.59288
TRIM50	5	0.044258	0.22399	0.97084	0.99607	0.82277	0.92797
TRIM52	5	0.079657	0.36716	0.85183	0.96886	0.7135	0.87402
TRIM54	4	-0.11848	-0.49741	0.57514	0.88686	0.6189	0.8247
TRIM55	5	-0.07416	-0.46631	0.65911	0.91247	0.64099	0.83799
TRIM56	5	0.073592	0.43915	0.8711	0.97386	0.66055	0.84808
TRIM58	5	0.50233	1.4128	0.024992	0.25554	0.1577	0.59288
TRIM59	5	-0.043196	-0.27304	0.74914	0.94329	0.78483	0.91083
TRIM6	5	-0.024389	-0.15573	0.80773	0.95848	0.87624	0.94885
TRIM6-TRIM34	3	0.26963	0.8684	0.42386	0.81833	0.38517	0.6892
TRIM60	5	0.056476	0.29039	0.92863	0.98795	0.77152	0.9039
TRIM61	5	-0.058235	-0.25891	0.70249	0.92715	0.79571	0.91512
TRIM62	5	0.35313	1.5209	0.14479	0.5736	0.12828	0.59288
TRIM63	5	0.56486	1.6567	0.010497	0.15672	0.097589	0.59288
TRIM64B	4	-0.51037	-2.4304	0.079196	0.44455	0.015082	0.27265
TRIM65	4	-0.10196	-0.47344	0.61529	0.89759	0.6359	0.83526
TRIM67	4	0.10385	0.81142	0.78513	0.95346	0.41712	0.70869
TRIM68	5	0.16299	0.69232	0.5767	0.88686	0.48874	0.75121
TRIM69	5	0.085122	0.79589	0.83422	0.96555	0.42609	0.7139
TRIM7	14	0.213	1.7416	0.17639	0.61053	0.081573	0.59288
TRIM71	5	0.40393	1.3531	0.083583	0.45746	0.17601	0.59372
TRIM72	5	-0.029991	-0.19366	0.79151	0.95369	0.84644	0.93731
TRIM73	3	-0.3326	-1.6536	0.26997	0.71338	0.098207	0.59288
TRIM74	2	-0.13828	-0.40295	0.6449	0.90733	0.68699	0.86219
TRIM77	5	-0.10624	-0.41918	0.57225	0.88611	0.67509	0.85585
TRIM8	5	0.2619	1.6302	0.30729	0.74086	0.10306	0.59288
TRIM9	5	-0.0082565	-0.036816	0.85827	0.97018	0.97063	0.98835
TRIML1	5	0.23581	0.98169	0.36954	0.78457	0.32625	0.65549
TRIML2	5	0.099321	0.42018	0.78724	0.95346	0.67436	0.85529
TRIO	5	-0.051994	-0.27785	0.7207	0.9344	0.78113	0.90928
TRIOBP	10	0.13859	0.83329	0.51227	0.86141	0.40468	0.70159
TRIP10	5	-0.11612	-0.65643	0.54521	0.87535	0.51155	0.76376
TRIP11	5	0.032699	0.1801	0.99267	0.99944	0.85707	0.94139
TRIP12	5	0.21837	1.2323	0.41547	0.81272	0.21783	0.59985
TRIP13	5	-0.11857	-0.65926	0.53854	0.87238	0.50973	0.76275
TRIP4	4	0.15665	0.79913	0.62835	0.90224	0.42421	0.71289
TRIP6	5	0.050149	0.49384	0.9519	0.99191	0.62142	0.82594
TRIQK	5	-0.23873	-1.1182	0.29429	0.7344	0.26348	0.62215
TRIT1	5	0.15447	0.81347	0.60308	0.89437	0.41595	0.70817
TRMT1	5	-0.09342	-0.63026	0.60502	0.89437	0.52852	0.77446
TRMT10A	5	0.044966	0.2469	0.96845	0.99594	0.80499	0.91939
TRMT10B	7	-0.018768	-0.13232	0.80901	0.95892	0.89473	0.95612
TRMT10C	5	-0.090332	-0.57111	0.61391	0.89718	0.56792	0.79723
TRMT11	5	-0.11477	-0.53617	0.54821	0.87742	0.59184	0.81107
TRMT112	5	-1.1992	-3.0588	5.5537e-05	0.002924	0.0022224	0.083548
TRMT12	5	-0.23113	-1.3647	0.30612	0.73967	0.17234	0.59288
TRMT13	5	0.26887	1.2853	0.29196	0.73207	0.19868	0.59478
TRMT1L	5	-0.40305	-2.1271	0.1053	0.5004	0.033412	0.43344
TRMT2A	5	0.16127	1.297	0.58247	0.88957	0.19464	0.59478
TRMT2B	5	0.34654	1.8123	0.1545	0.58614	0.069934	0.59288
TRMT44	5	0.082275	0.40462	0.84355	0.96768	0.68576	0.86137
TRMT5	5	-0.05529	-0.23352	0.71126	0.93069	0.81536	0.92498
TRMT6	5	-0.17005	-0.74964	0.4218	0.81694	0.45347	0.73093
TRMT61A	5	0.16405	1.0589	0.57386	0.88686	0.28966	0.63511
TRMT61B	5	0.095585	0.51294	0.79934	0.9559	0.60799	0.81916
TRMU	5	0.13674	0.73759	0.65939	0.91247	0.46076	0.73555
TRNAU1AP	5	0.015344	0.079721	0.93436	0.9893	0.93646	0.975
TRNP1	5	-0.048001	-0.25427	0.73376	0.93742	0.79929	0.91664
TRNT1	5	-1.4155	-3.6897	0	0	0.00022448	0.019696
TRO	14	0.31348	2.1766	0.033433	0.29817	0.029512	0.40783
TROAP	5	-0.30668	-1.2209	0.1976	0.63884	0.22212	0.60194
TROVE2	5	-0.19784	-0.67396	0.36538	0.78173	0.50033	0.75779
TRPA1	5	0.22844	1.1769	0.38765	0.79653	0.23922	0.61006
TRPC1	5	0.27747	1.1281	0.27285	0.71664	0.25928	0.61904
TRPC3	5	0.12286	0.53702	0.70438	0.9278	0.59126	0.81076
TRPC4	5	0.044802	0.25753	0.96912	0.99607	0.79677	0.91555
TRPC4AP	5	0.15775	1.4694	0.5933	0.89233	0.14172	0.59288
TRPC5	5	0.40561	1.6426	0.081584	0.45089	0.10046	0.59288
TRPC6	5	0.24267	1.1068	0.35277	0.77643	0.26836	0.62415
TRPC7	5	0.023532	0.1343	0.96012	0.99237	0.89316	0.95582
TRPM1	7	-0.082796	-0.4471	0.58336	0.89007	0.6548	0.84501
TRPM2	5	0.47797	1.6492	0.034766	0.30418	0.099108	0.59288
TRPM3	5	0.15176	0.70379	0.6108	0.896	0.48156	0.74622
TRPM4	5	-0.2147	-0.85462	0.33433	0.76241	0.39276	0.69419
TRPM5	5	0.21245	1.4307	0.43169	0.82193	0.15253	0.59288
TRPM6	5	-0.0042609	-0.046725	0.87182	0.97412	0.96273	0.98488
TRPM7	5	-0.81066	-2.6905	0.0049983	0.10135	0.0071345	0.17174
TRPM8	5	0.08101	0.62058	0.84766	0.96834	0.53488	0.77755
TRPS1	5	-0.15393	-0.76722	0.45624	0.83537	0.44295	0.72526
TRPT1	5	0.099321	0.5418	0.78724	0.95346	0.58796	0.80926
TRPV1	5	0.3436	2.0122	0.15906	0.59217	0.044198	0.51113
TRPV2	5	0.21094	1.033	0.43602	0.82529	0.30158	0.64165
TRPV3	5	0.54841	1.4921	0.013662	0.18358	0.13566	0.59288
TRPV4	5	0.16008	0.93177	0.58647	0.89111	0.35146	0.67009
TRPV5	5	-0.053798	-0.23253	0.71543	0.93267	0.81613	0.92533
TRPV6	5	0.25849	1.42	0.31484	0.74615	0.15561	0.59288
TRRAP	5	-0.42975	-1.2311	0.087693	0.46329	0.21827	0.59993
TRUB1	5	0.31823	1.0445	0.19682	0.63844	0.29626	0.63832
TRUB2	5	-0.01307	-0.11291	0.84339	0.96768	0.9101	0.96237
TSACC	5	-0.10652	-0.44573	0.57148	0.8859	0.65579	0.84549
TSC1	5	0.008855	0.046028	0.91242	0.98324	0.96329	0.98498
TSC2	5	0.13802	0.54243	0.65578	0.91169	0.58752	0.80897
TSC22D1	11	-0.10914	-0.78852	0.40387	0.80648	0.43039	0.71663
TSC22D2	5	0.10111	0.58343	0.78074	0.9532	0.5596	0.79279
TSC22D3	13	0.35016	2.5551	0.019049	0.22389	0.010615	0.21864
TSC22D4	5	-0.16479	-1.3851	0.43341	0.82342	0.16602	0.59288
TSEN15	6	0.033232	0.16089	0.99717	0.99944	0.87218	0.94727
TSEN2	5	-0.37348	-1.4527	0.12873	0.54567	0.14632	0.59288
TSEN34	5	-0.30953	-1.6066	0.1936	0.63393	0.10813	0.59288
TSEN54	5	-0.35442	-1.6431	0.14506	0.57432	0.10037	0.59288
TSFM	5	-0.10485	-0.51232	0.57581	0.88686	0.60843	0.81916
TSG101	4	-0.62533	-2.1034	0.038765	0.31901	0.035433	0.44747
TSGA10	5	-0.16758	-1.0796	0.42675	0.81924	0.28034	0.62909
TSGA10IP	5	-0.28169	-1.4481	0.23059	0.676	0.1476	0.59288
TSGA13	5	-0.13147	-0.65585	0.50728	0.85931	0.51192	0.76396
TSHB	5	-0.083998	-0.27623	0.6309	0.90264	0.78237	0.91003
TSHR	5	0.37447	1.3521	0.11607	0.52286	0.17635	0.59375
TSHZ1	5	0.59396	1.593	0.0071087	0.12623	0.11115	0.59288
TSHZ2	5	0.074333	0.40792	0.86888	0.97325	0.68333	0.85973
TSHZ3	5	0.29904	1.7711	0.22998	0.6758	0.076541	0.59288
TSKS	5	0.35705	1.5054	0.13851	0.56159	0.13221	0.59288
TSKU	5	0.07895	0.30578	0.85388	0.96939	0.75977	0.8986
TSLP	5	-0.20552	-1.1123	0.35111	0.77529	0.26601	0.62356
TSN	6	0.022048	0.11675	0.95585	0.99237	0.90705	0.96099
TSNARE1	5	0.1492	0.83827	0.61868	0.89935	0.40188	0.69949
TSNAX	5	-0.10297	-0.45824	0.58075	0.88823	0.64678	0.8408
TSNAXIP1	5	0.3013	1.4697	0.22565	0.67062	0.14165	0.59288
TSPAN1	5	0.33571	1.7907	0.16983	0.60415	0.073336	0.59288
TSPAN11	5	-0.13686	-1.0981	0.49372	0.85254	0.27214	0.6255
TSPAN12	5	-0.013995	-0.047933	0.84072	0.96741	0.96177	0.98458
TSPAN13	5	0.11595	0.43537	0.72804	0.9365	0.6633	0.8497
TSPAN14	5	-0.034415	-0.22169	0.77785	0.95247	0.82456	0.92856
TSPAN15	5	0.23707	1.4861	0.36643	0.7827	0.13724	0.59288
TSPAN16	5	0.13854	0.96974	0.65434	0.91157	0.33218	0.65929
TSPAN17	5	0.40788	1.5956	0.079862	0.44672	0.11059	0.59288
TSPAN18	5	-0.093728	-0.63141	0.60413	0.89437	0.52777	0.77394
TSPAN19	5	0.2843	1.3419	0.25836	0.70314	0.17962	0.59478
TSPAN2	5	-0.078423	-0.318	0.64745	0.90825	0.75049	0.89397
TSPAN3	6	0.36547	1.1566	0.093802	0.47739	0.24745	0.61364
TSPAN31	5	-0.43589	-1.605	0.084305	0.45806	0.10849	0.59288
TSPAN32	5	0.10318	0.46087	0.7723	0.95025	0.64489	0.84017
TSPAN33	5	0.16361	1.4968	0.57525	0.88686	0.13443	0.59288
TSPAN4	5	0.27151	1.19	0.28607	0.72703	0.23405	0.60644
TSPAN5	5	-0.04032	-0.25887	0.75814	0.94779	0.79574	0.91512
TSPAN6	5	0.26588	0.95225	0.29779	0.73618	0.34097	0.66435
TSPAN7	5	0.42711	1.4813	0.065478	0.41397	0.13854	0.59288
TSPAN8	5	0.2082	1.0096	0.4438	0.83076	0.31267	0.64781
TSPAN9	5	0.094918	0.4125	0.80129	0.95683	0.67997	0.85837
TSPEAR	5	0.63309	1.7336	0.0034433	0.079183	0.082997	0.59288
TSPO	5	0.091943	0.73908	0.81095	0.9594	0.45986	0.73495
TSPO2	5	0.12552	0.80452	0.69627	0.92498	0.4211	0.71169
TSPY1	1	1.1294	0.58784	0.0063868	0.11783	0.55664	0.7914
TSPYL1	5	0.46223	1.4911	0.042597	0.33596	0.13594	0.59288
TSPYL2	5	0.18346	1.072	0.51638	0.86389	0.28371	0.63168
TSPYL4	5	0.055689	0.33334	0.93191	0.98863	0.73888	0.88812
TSPYL5	5	-0.12944	-0.81845	0.51188	0.86141	0.4131	0.70616
TSPYL6	5	0.20944	1.2326	0.44019	0.82879	0.21772	0.59985
TSR1	5	-0.67989	-2.6998	0.013884	0.1845	0.0069373	0.16849
TSR2	5	-1.4155	-3.7812	0	0	0.00015608	0.015719
TSR3	5	0.33581	1.2115	0.16961	0.6038	0.22571	0.60218
TSSC1	5	0.053689	0.51226	0.93958	0.99023	0.60847	0.81916
TSSC4	5	0.34676	1.4424	0.15428	0.58571	0.1492	0.59288
TSSK1B	5	0.068826	0.24828	0.88682	0.9773	0.80392	0.9189
TSSK2	5	-0.24716	-2.0098	0.28052	0.72342	0.044454	0.51283
TSSK3	5	0.14874	0.83358	0.62057	0.89979	0.40452	0.70151
TSSK4	5	-0.09814	-0.5052	0.59386	0.89233	0.61342	0.82181
TSSK6	5	0.1723	1.1783	0.54959	0.87793	0.23866	0.60974
TST	5	0.38224	1.5538	0.10624	0.50329	0.12024	0.59288
TSTA3	5	-0.46923	-1.9944	0.0667	0.41684	0.046104	0.52375
TSTD1	10	-0.15398	-0.93457	0.30268	0.73718	0.35001	0.66939
TSTD2	5	-0.04694	-0.22801	0.73703	0.93942	0.81964	0.92694
TTBK1	5	-0.090645	-0.52481	0.61313	0.89676	0.59972	0.81489
TTBK2	5	0.17299	0.7702	0.54737	0.87663	0.44118	0.72434
TTC1	5	-1.0978	-3.6244	0.00027769	0.011655	0.0002896	0.02328
TTC12	5	0.25294	1.0501	0.3275	0.757	0.29368	0.63696
TTC13	5	-0.13318	-0.63546	0.50294	0.85701	0.52513	0.77232
TTC14	4	-0.086612	-0.38757	0.65345	0.91097	0.69833	0.86774
TTC16	5	0.26054	1.3797	0.30967	0.74236	0.16767	0.59288
TTC17	5	0.21309	1.0276	0.43052	0.82183	0.30415	0.64256
TTC18	5	0.19384	0.94518	0.48517	0.84848	0.34457	0.66627
TTC19	5	-0.22464	-0.89493	0.31639	0.74705	0.37082	0.67967
TTC21A	5	0.22748	1.0443	0.39009	0.79864	0.29637	0.63832
TTC21B	5	0.03292	0.15669	0.99334	0.99944	0.87549	0.94833
TTC22	5	0.33609	1.2645	0.16911	0.60344	0.20606	0.59717
TTC23	5	0.049321	0.22426	0.95479	0.99221	0.82256	0.92797
TTC23L	5	0.045195	0.22077	0.96773	0.99577	0.82527	0.92867
TTC24	5	-0.3097	-1.1638	0.19344	0.63393	0.24452	0.61177
TTC26	5	-0.18933	-1.1186	0.38226	0.7937	0.26332	0.62215
TTC27	5	-1.0311	-3.0093	0.00055537	0.021053	0.0026187	0.091915
TTC28	5	0.19176	1.2384	0.49167	0.85232	0.21557	0.59931
TTC29	4	-0.22294	-1.0937	0.36566	0.78195	0.27411	0.62642
TTC3	5	0.041417	0.16944	0.97951	0.99695	0.86545	0.94418
TTC30A	5	0.52743	1.5894	0.018216	0.21722	0.11198	0.59288
TTC30B	5	0.43867	1.3574	0.056814	0.3875	0.17466	0.59322
TTC31	5	-0.027931	-0.20339	0.79768	0.95569	0.83883	0.93425
TTC32	5	0.10098	0.37841	0.78118	0.9532	0.70513	0.87065
TTC33	5	-0.29223	-1.1974	0.21548	0.65841	0.23115	0.60577
TTC34	4	0.52146	1.3737	0.038543	0.31866	0.16954	0.59288
TTC36	5	0.17249	1.0928	0.54909	0.87752	0.27449	0.62642
TTC37	5	0.095052	0.46547	0.80079	0.95656	0.6416	0.8383
TTC38	5	-0.053661	-0.41525	0.71604	0.93299	0.67796	0.85754
TTC39A	5	0.11982	0.60983	0.71476	0.9322	0.54197	0.78246
TTC39B	5	0.28678	0.82258	0.25375	0.6984	0.41075	0.70537
TTC39C	9	0.1177	0.96442	0.61907	0.89948	0.33484	0.66117
TTC4	5	-0.59753	-2.3146	0.025603	0.25826	0.020633	0.32849
TTC40	5	0.46275	1.8756	0.042375	0.33553	0.060705	0.59288
TTC5	5	-0.16267	-1.2504	0.43802	0.8263	0.21114	0.59847
TTC7A	5	0.11886	0.52496	0.71787	0.9335	0.59961	0.81489
TTC7B	5	-0.071832	-0.50388	0.66533	0.91545	0.61435	0.82216
TTC8	5	-0.09489	-0.55396	0.60136	0.89369	0.57961	0.80452
TTC9	5	0.073763	0.39445	0.87038	0.97366	0.69325	0.86573
TTC9B	5	0.14473	0.9571	0.63396	0.90459	0.33852	0.6634
TTC9C	5	-0.62047	-2.3746	0.021826	0.24037	0.017567	0.29851
TTF1	5	-0.62495	-3.0174	0.020826	0.23511	0.0025493	0.090284
TTF2	5	-0.32307	-1.6859	0.17877	0.6145	0.091819	0.59288
TTI1	5	-0.21009	-1.4715	0.34266	0.77108	0.14115	0.59288
TTI2	5	-0.77606	-2.6504	0.0064978	0.11914	0.008039	0.18487
TTK	5	-0.28412	-0.96305	0.22681	0.67132	0.33552	0.66157
TTL	5	-0.061966	-0.32231	0.69155	0.92395	0.74721	0.89255
TTLL1	5	0.12982	0.53682	0.68305	0.92133	0.59139	0.81076
TTLL10	5	0.25264	1.2962	0.32806	0.7575	0.1949	0.59478
TTLL11	5	0.052202	0.36373	0.94435	0.99103	0.71606	0.87535
TTLL12	5	0.14264	0.57545	0.6404	0.90606	0.56498	0.79484
TTLL2	5	0.23863	1.1048	0.36293	0.78173	0.26923	0.62478
TTLL3	3	0.38661	1.3531	0.20654	0.64859	0.17602	0.59372
TTLL4	5	0.19258	1.4648	0.48917	0.85151	0.14297	0.59288
TTLL5	5	-0.046503	-0.30668	0.73859	0.94032	0.75909	0.89839
TTLL6	5	-0.4507	-2.1035	0.077085	0.44008	0.035421	0.44747
TTLL7	5	0.11416	0.53952	0.73353	0.9374	0.58953	0.81033
TTLL9	5	0.14345	0.66216	0.63779	0.90532	0.50787	0.76174
TTN	5	0.33448	1.7609	0.17183	0.60631	0.078257	0.59288
TTPA	4	-0.15789	-0.45925	0.49073	0.85207	0.64606	0.84041
TTPAL	5	0.24626	1.3296	0.34439	0.77108	0.18365	0.59478
TTR	5	0.27274	0.90588	0.28357	0.72637	0.365	0.67652
TTYH1	5	0.22739	1.7179	0.39037	0.79864	0.085813	0.59288
TTYH2	6	-0.026396	-0.2217	0.78763	0.95346	0.82455	0.92856
TTYH3	5	-0.020378	-0.14457	0.81984	0.96245	0.88505	0.95276
TUB	5	0.34403	1.3165	0.15856	0.59204	0.18799	0.59478
TUBA1A	5	-0.32615	-1.1919	0.17505	0.60891	0.2333	0.60614
TUBA1B	4	-1.2564	-3.5456	0.00077752	0.027397	0.0003917	0.027768
TUBA1C	3	-1.1001	-2.6058	0.0057759	0.11219	0.0091656	0.19956
TUBA3C	4	-0.3855	-1.836	0.15922	0.59217	0.066362	0.59288
TUBA3D	5	-0.22356	-1.1365	0.31839	0.7485	0.25574	0.61764
TUBA3E	2	-0.1322	-0.66338	0.65467	0.91168	0.50709	0.76152
TUBA4A	5	0.0026677	0.023277	0.89226	0.97875	0.98143	0.99251
TUBA8	5	-0.0483	-0.42261	0.73287	0.93695	0.67258	0.85435
TUBAL3	5	0.35667	1.2785	0.13912	0.56296	0.20107	0.59613
TUBB	5	-1.2217	-3.4429	5.5537e-05	0.002924	0.00057555	0.035191
TUBB1	5	-0.014534	-0.052176	0.8385	0.9666	0.95839	0.98318
TUBB2A	3	0.52303	0.97513	0.070199	0.42473	0.32949	0.65785
TUBB2B	3	0.44977	1.2296	0.12801	0.54541	0.21884	0.60021
TUBB3	8	-0.1787	-1.5644	0.29251	0.73259	0.11773	0.59288
TUBB4A	5	0.20212	1.1164	0.46035	0.8377	0.26424	0.62285
TUBB4B	5	-0.24485	-1.4907	0.28396	0.7266	0.13604	0.59288
TUBB6	5	0.42319	1.4206	0.068144	0.42021	0.15543	0.59288
TUBB8	1	-0.68439	-1.3969	0.26097	0.70566	0.16246	0.59288
TUBD1	10	-0.65225	-3.5766	0.00061091	0.022727	0.00034816	0.025692
TUBE1	5	-0.40728	-1.7632	0.10291	0.49545	0.07786	0.59288
TUBG1	5	-1.513	-4.7006	0	0	2.5937e-06	0.0015579
TUBG2	5	-0.55992	-1.7303	0.033655	0.29852	0.083571	0.59288
TUBGCP2	5	-0.36303	-1.6419	0.13751	0.55949	0.10061	0.59288
TUBGCP3	4	-0.29675	-1.2179	0.25425	0.6984	0.22326	0.60194
TUBGCP4	5	-0.83197	-2.9894	0.0038876	0.083933	0.0027955	0.095703
TUBGCP5	5	-0.52486	-1.558	0.043541	0.34027	0.11923	0.59288
TUBGCP6	5	-0.66943	-2.6996	0.015384	0.19772	0.0069432	0.16849
TUFM	5	-0.28743	-1.2646	0.22237	0.66778	0.20601	0.59713
TUFT1	5	-0.30176	-1.6482	0.2036	0.64542	0.099317	0.59288
TULP1	5	0.096031	0.48045	0.79812	0.95584	0.63091	0.832
TULP2	5	-0.14566	-1.2647	0.47445	0.84332	0.206	0.59713
TULP3	5	0.08314	0.4645	0.84094	0.96742	0.64229	0.83888
TULP4	5	0.28942	1.4787	0.2482	0.69244	0.13923	0.59288
TUSC1	5	0.57977	1.8194	0.0087193	0.14171	0.068849	0.59288
TUSC2	5	0.17424	0.83414	0.5436	0.87393	0.4042	0.7012
TUSC3	5	-0.077323	-0.50113	0.65006	0.90962	0.61628	0.82317
TUSC5	5	0.061886	0.35746	0.91031	0.98279	0.72074	0.87794
TUT1	5	-1.3405	-3.4194	0	0	0.0006275	0.036924
TVP23A	5	0.21682	0.59236	0.41947	0.81532	0.55361	0.78951
TVP23B	3	-0.28002	-1.0801	0.33456	0.76266	0.28011	0.62872
TVP23C	6	-0.37109	-1.7595	0.1003	0.4889	0.078489	0.59288
TVP23C-CDRT4	2	0.06549	0.23746	0.94941	0.99191	0.8123	0.92326
TWF1	5	-0.27427	-1.0652	0.23959	0.68315	0.2868	0.63416
TWF2	5	0.088757	0.36814	0.82211	0.96317	0.71277	0.87347
TWIST1	5	0.37702	1.5919	0.11307	0.5161	0.11141	0.59288
TWIST2	5	0.20213	1.2472	0.46035	0.8377	0.21231	0.59847
TWISTNB	5	-1.8959	-4.6125	0	0	3.9781e-06	0.0018352
TWSG1	5	0.34122	1.0501	0.16178	0.59526	0.29366	0.63696
TXK	5	-0.13131	-0.70461	0.50766	0.85931	0.48105	0.74608
TXLNA	5	0.26311	1.2375	0.30418	0.73811	0.21592	0.59932
TXLNB	5	0.072751	0.57719	0.87343	0.97453	0.56381	0.79464
TXLNG	5	0.57515	1.2676	0.0091636	0.14348	0.20496	0.59679
TXN	7	-0.61045	-2.3656	0.0077752	0.1327	0.018	0.3015
TXN2	5	-0.30782	-1.4245	0.19555	0.63671	0.15429	0.59288
TXNDC11	5	0.23869	0.84925	0.36293	0.78173	0.39574	0.69542
TXNDC12	5	-0.35523	-1.3291	0.1444	0.57281	0.18383	0.59478
TXNDC15	5	0.11097	0.95329	0.74375	0.94239	0.34044	0.66422
TXNDC16	5	0.24755	0.82794	0.34177	0.77041	0.40771	0.70311
TXNDC17	5	0.065308	0.3887	0.89881	0.98002	0.6975	0.8674
TXNDC2	6	0.45275	1.7257	0.028491	0.27375	0.084402	0.59288
TXNDC5	5	0.18578	1.102	0.50922	0.85959	0.27048	0.62515
TXNDC8	6	0.18036	0.9937	0.48078	0.84647	0.32037	0.65241
TXNDC9	5	-0.3909	-1.5866	0.11518	0.52201	0.11261	0.59288
TXNIP	5	0.12071	0.58206	0.71215	0.93083	0.56053	0.79325
TXNL1	5	-0.16416	-0.56356	0.43497	0.82461	0.57306	0.80076
TXNL4A	5	-1.2515	-3.7042	5.5537e-05	0.002924	0.00021204	0.018808
TXNL4B	5	-1.0658	-3.3626	0.00027769	0.011655	0.000772	0.041996
TXNRD1	5	-0.23519	-1.133	0.30034	0.73622	0.25721	0.618
TXNRD2	5	0.41305	1.3262	0.075919	0.43858	0.18478	0.59478
TXNRD3NB	5	0.1009	0.63699	0.78141	0.9532	0.52413	0.77177
TYK2	4	-0.29007	-1.2825	0.26336	0.70707	0.19966	0.59478
TYMP	5	-0.035013	-0.20007	0.77602	0.95179	0.84142	0.93505
TYMS	5	-0.12746	-0.49022	0.51683	0.86415	0.62398	0.82729
TYR	5	0.4341	1.5649	0.060258	0.39919	0.11762	0.59288
